number,name,species,primary_type,secondary_type,pokedexX,pokedexY,pokedexOR,pokedexAS
63,Abra,Psi,PSYCHIC,NONE,It sleeps for 18 hours a day. It uses a variety of extrasensory powers even while asleep.,It senses impending attacks and teleports away to safety before the actual attacks can strike.,"Abra sleeps for eighteen hours a day. However, it can sense the presence of foes even while it is sleeping. In such a situation, this Pok̩mon immediately teleports to safety.","Abra needs to sleep for eighteen hours a day. If it doesn't, this Pok̩mon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping."
64,Kadabra,Psi,PSYCHIC,NONE,"When it uses its psychic power, it emits strong  alpha waves that can ruin precision devices.","If it uses its abilities, it emits special alpha waves that cause machines to malfunction.",Kadabra emits a peculiar alpha wave if it develops a headache. Only those people with a particularly strong psyche can hope to become a Trainer of this Pok̩mon.,"Kadabra holds a silver spoon in its hand. The spoon is used to amplify the alpha waves in its brain. Without the spoon, the Pok̩mon is said to be limited to half the usual amount of its telekinetic powers."
65,Alakazam,Psi,PSYCHIC,NONE,"Its brain cells multiply continually until it dies. As a result, it remembers everything.","Its brain can outperform a supercomputer. Its IQ (intelligence quotient) is said to be around 5,000.","Alakazam's brain continually grows, making its head far too heavy to support with its neck. This Pok̩mon holds its head up using its psychokinetic power instead.","Alakazam's brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pok̩mon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world."
66,Machop,Superpower,FIGHTING,NONE,It hefts a Graveler repeatedly to strengthen its entire body. It uses every type of martial arts.,"Its whole body is composed of muscles. Even though it's the size of a human child, it can hurl 100 grown-ups.",Machop's muscles are special-they never get sore no matter how much they are used in exercise. This Pok̩mon has sufficient power to hurl a hundred adult humans.,Machop exercises by hefting around a Graveler as if it were a barbell. There are some Machop that travel the world in a quest to master all kinds of martial arts.
67,Machoke,Superpower,FIGHTING,NONE,"Its muscular body is so powerful, it must wear a power-save belt to be able to regulate its motions.","It can lift a dump truck with one hand. Using that power, it helps people with heavy jobs.","Machoke's thoroughly toned muscles possess the hardness of steel. This Pok̩mon has so much strength, it can easily hold aloft a sumo wrestler on just one finger.","Machoke undertakes bodybuilding every day even as it helps people with tough, physically demanding labor. On its days off, this Pok̩mon heads to the fields and mountains to exercise and train."
68,Machamp,Superpower,FIGHTING,NONE,"Its four ruggedly developed arms can launch a flurry of 1,000 punches in just two seconds.","It uses its four powerful arms to pin the limbs of its foe, then throws the victim over the horizon.","Machamp has the power to hurl anything aside. However, trying to do any work requiring care and dexterity causes its arms to get tangled. This Pok̩mon tends to leap into action before it thinks.","Machamp is known as the Pok̩mon that has mastered every kind of martial arts. If it grabs hold of the foe with its four arms, the battle is all but over. The hapless foe is thrown far over the horizon."
69,Bellsprout,Flower,GRASS,POISON,"Even though its body is extremely skinny, it is blindingly fast when catching its prey.","Its bud looks like a human face. Because of the bud, it is rumored to be a type of legendary  mandrake plant.","Bellsprout's thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pok̩mon spits a corrosive fluid that melts even iron.","Bellsprout's thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pok̩mon spits a corrosive fluid that melts even iron."
70,Weepinbell,Flycatcher,GRASS,POISON,The leafy parts act as cutters for slashing foes. It spits a fluid that dissolves everything.,It spits out Poison Powder to immobilize the enemy  and then finishes it with a spray of Acid. ,"Weepinbell has a large hook on its rear end. At night, the Pok̩mon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.","Weepinbell has a large hook on its rear end. At night, the Pok̩mon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground."
71,Victreebel,Flycatcher,GRASS,POISON,"Said to live in huge colonies deep in jungles, although no one has ever returned from there.","Once ingested into this Pok̩mon's body,  even the hardest object will melt into nothing. ","Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pok̩mon swallows it whole.","Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pok̩mon swallows it whole."
72,Tentacool,Jellyfish,WATER,POISON,Its body is virtually composed of water. It shoots strange beams from its crystal-like eyes.,Drifts in shallow seas. Anglers who hook them by accident are often punished by their stingers.,"Tentacool's body is largely composed of water. If it is removed from the sea, it dries up like parchment. If this Pok̩mon happens to become dehydrated, put it back into the sea.",Tentacool absorbs sunlight and refracts it using water inside its body to convert it into beam energy. This Pok̩mon shoots beams from the small round organ above its eyes.
73,Tentacruel,Jellyfish,WATER,POISON,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey.","It has 80 tentacles that move about freely.  They can sting, causing poisoning and sharp,  stabbing pain.",Tentacruel has large red orbs on its head. The orbs glow before lashing the vicinity with a harsh ultrasonic blast. This Pok̩mon's outburst creates rough waves around it.,Tentacruel has tentacles that can be freely elongated and shortened at will. It ensnares prey with its tentacles and weakens the prey by dosing it with a harsh toxin. It can catch up to 80 prey at the same time.
74,Geodude,Rock,ROCK,GROUND,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them.",It is impossible to distinguish from rocks. It slams against others in contests of hardness.,"The longer a Geodude lives, the more its edges are chipped and worn away, making it more rounded in appearance. However, this Pok̩mon's heart will remain hard, craggy, and rough always.","When Geodude sleeps deeply, it buries itself halfway into the ground. It will not awaken even if hikers step on it unwittingly. In the morning, this Pok̩mon rolls downhill in search of food."
